NameToDisplay,Size,Brand,Marketing Group,Category,Stock(Unit1),SaleRate,MRP,Sale Rate Value,'Product',Stock(Unit2),Stock,StockUnit,Unit1,Unit2,Stock Value,IsVirtual,Status,ProdConv1,SellLoose,StockLocation,Rate
Aarika AE090 ,30,Aarika,GIRLS KIDS WEAR,Gharara<>,1,1870,2070,1870,AE090,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE090 ,28,Aarika,GIRLS KIDS WEAR,Gharara<>,1,1770,1970,1770,AE090,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE090 ,38,Aarika,GIRLS KIDS WEAR,Gharara<>,1,2270,2540,2270,AE090,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE090 ,36,Aarika,GIRLS KIDS WEAR,Gharara<>,1,2170,2420,2170,AE090,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE090 ,26,Aarika,GIRLS KIDS WEAR,Gharara<>,1,1650,1930,1650,AE090,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE090 ,34,Aarika,GIRLS KIDS WEAR,Gharara<>,1,2070,2290,2070,AE090,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE090 ,24,Aarika,GIRLS KIDS WEAR,Gharara<>,1,1600,1780,1600,AE090,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE090 ,22,Aarika,GIRLS KIDS WEAR,Gharara<>,1,1550,1740,1550,AE090,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE090 ,32,Aarika,GIRLS KIDS WEAR,Gharara<>,1,1970,2190,1970,AE090,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE090 ,20,Aarika,GIRLS KIDS WEAR,Gharara<>,1,1500,1670,1500,AE090,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE104 ,28,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1,1570,1740,1570,AE104,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE104 ,22,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1,1370,1530,1370,AE104,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE104 ,38,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1,2070,2300,2070,AE104,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE104 ,32,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1,1770,1960,1770,AE104,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE104 ,34,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1,1870,2080,1870,AE104,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE104 ,30,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1,1670,1850,1670,AE104,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE104 ,26,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1,1470,1640,1470,AE104,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE104 ,20,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1,1320,1470,1320,AE104,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE104 ,24,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1,1420,1580,1420,AE104,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE104 ,36,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1,1970,2190,1970,AE104,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE105 ,28,Aarika,GIRLS KIDS WEAR,Dhoti-Set<>,1,1810,2010,1810,AE105,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE105 ,30,Aarika,GIRLS KIDS WEAR,Dhoti-Set<>,1,1910,2120,1910,AE105,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE105 ,32,Aarika,GIRLS KIDS WEAR,Dhoti-Set<>,1,2010,2230,2010,AE105,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE105 ,34,Aarika,GIRLS KIDS WEAR,Dhoti-Set<>,1,2110,2350,2110,AE105,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE105 ,36,Aarika,GIRLS KIDS WEAR,Dhoti-Set<>,1,2210,2460,2210,AE105,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE105 ,38,Aarika,GIRLS KIDS WEAR,Dhoti-Set<>,1,2310,2580,2310,AE105,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE110 ,32,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1,1880,2090,1880,AE110,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE110 ,24,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1,1480,1650,1480,AE110,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE110 ,28,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1,1680,1870,1680,AE110,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE110 ,26,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1,1580,1760,1580,AE110,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE110 ,34,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1,1980,2200,1980,AE110,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE110 ,38,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1,2180,2440,2180,AE110,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE110 ,36,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1,2080,2320,2080,AE110,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarika AE110 ,30,Aarika,GIRLS KIDS WEAR,Aliya Cut <>,1,1780,1980,1780,AE110,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarkys 95636(gg) ,34,Aarkys,BABA KIDS WEAR,Suit+Jacket-Reversible ,1,1465,1465,1465,95636(gg),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarkys 95636(gg) ,26,Aarkys,BABA KIDS WEAR,Suit+Jacket-Reversible ,2,1345,1345,2690,95636(gg),2,2,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarkys 95636(gg) ,16,Aarkys,BABA KIDS WEAR,Suit+Jacket-Reversible ,1,1195,1195,1195,95636(gg),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarkys 95636(gg) ,24,Aarkys,BABA KIDS WEAR,Suit+Jacket-Reversible ,1,1315,1315,1315,95636(gg),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarkys 95636(gg) ,32,Aarkys,BABA KIDS WEAR,Suit+Jacket-Reversible ,1,1435,1435,1435,95636(gg),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarkys 95636(gg) ,36,Aarkys,BABA KIDS WEAR,Suit+Jacket-Reversible ,2,1495,1495,2990,95636(gg),2,2,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarkys 95636(gg) ,38,Aarkys,BABA KIDS WEAR,Suit+Jacket-Reversible ,1,1525,1525,1525,95636(gg),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aarkys 95636(gg) ,20,Aarkys,BABA KIDS WEAR,Suit+Jacket-Reversible ,1,1255,1255,1255,95636(gg),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aavali 0001(sae) ,32,Aavali,GIRLS KIDS WEAR,H-Pant-Hosiery <,1,245,245,245,0001(sae),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aavali 6001 ,30,Aavali,GIRLS KIDS WEAR,Frock-Hosiery <,1,235,235,235,6001,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aavali 6012 ,30,Aavali,GIRLS KIDS WEAR,Frock-Hosiery <,1,235,235,235,6012,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aavali 6012 ,32,Aavali,GIRLS KIDS WEAR,Frock-Hosiery <,1,240,240,240,6012,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aavali 6012 ,28,Aavali,GIRLS KIDS WEAR,Frock-Hosiery <,1,230,230,230,6012,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aavali 6012 ,24,Aavali,GIRLS KIDS WEAR,Frock-Hosiery <,1,220,220,220,6012,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aavali 6013(SaE) ,32,Aavali,GIRLS KIDS WEAR,H-Pant-Hosiery <,1,245,245,245,6013(SaE),1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aavali 6013(SaE) ,34,Aavali,GIRLS KIDS WEAR,H-Pant-Hosiery <,2,250,250,500,6013(SaE),2,2,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aavali 6033 ,28,Aavali,GIRLS KIDS WEAR,Night Suit<,1,495,495,495,6033,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aavali 6033 ,26,Aavali,GIRLS KIDS WEAR,Night Suit<,1,485,485,485,6033,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
Aavali 6049 ,24,Aavali,GIRLS KIDS WEAR,Night Suit H,1,475,475,475,6049,1,1,Pack,Pack,PCS,0,FALSE,C,1,FALSE,Head Office,0
